dane_institucion	anio	grado_codigo	grado_nombre	nivel_educativo	cantidad_estudiantes
INST_15	2024	9	Noveno	Secundaria	60
INST_15	2024	10	Décimo	Media	47
INST_15	2024	11	Once	Media	44
INST_16	2024	PJ	Prejardín	Preescolar	0
INST_16	2024	J	Jardín	Preescolar	0
INST_16	2024	T	Transición	Preescolar	33
INST_16	2024	1	Primero	Primaria	38
INST_16	2024	2	Segundo	Primaria	47
INST_16	2024	3	Tercero	Primaria	44
INST_16	2024	4	Cuarto	Primaria	56
INST_16	2024	5	Quinto	Primaria	56
INST_16	2024	6	Sexto	Secundaria	60
INST_16	2024	7	Séptimo	Secundaria	60
INST_16	2024	8	Octavo	Secundaria	61
INST_16	2024	9	Noveno	Secundaria	63
INST_16	2024	10	Décimo	Media	60
INST_16	2024	11	Once	Media	74
INST_17	2024	PJ	Prejardín	Preescolar	0
INST_17	2024	J	Jardín	Preescolar	0
INST_17	2024	T	Transición	Preescolar	20
INST_17	2024	1	Primero	Primaria	29
INST_17	2024	2	Segundo	Primaria	21
INST_17	2024	3	Tercero	Primaria	40
INST_17	2024	4	Cuarto	Primaria	22
INST_17	2024	5	Quinto	Primaria	26
INST_17	2024	6	Sexto	Secundaria	27
INST_17	2024	7	Séptimo	Secundaria	19
INST_17	2024	8	Octavo	Secundaria	35
INST_17	2024	9	Noveno	Secundaria	38
INST_17	2024	10	Décimo	Media	32
INST_17	2024	11	Once	Media	27
INST_18	2024	PJ	Prejardín	Preescolar	0
INST_18	2024	J	Jardín	Preescolar	0
INST_18	2024	T	Transición	Preescolar	0
INST_18	2024	1	Primero	Primaria	0
INST_18	2024	2	Segundo	Primaria	0
INST_18	2024	3	Tercero	Primaria	0
INST_18	2024	4	Cuarto	Primaria	0
INST_18	2024	5	Quinto	Primaria	0
INST_18	2024	6	Sexto	Secundaria	52
INST_18	2024	7	Séptimo	Secundaria	65
INST_18	2024	8	Octavo	Secundaria	55
INST_18	2024	9	Noveno	Secundaria	67
INST_18	2024	10	Décimo	Media	52
INST_18	2024	11	Once	Media	62
INST_19	2024	PJ	Prejardín	Preescolar	0
INST_19	2024	J	Jardín	Preescolar	0
INST_19	2024	T	Transición	Preescolar	32
INST_19	2024	1	Primero	Primaria	38
